id	title	description	link	image_link	additional_image_link	availability	price	sale_price	cost_of_goods_sold	brand	gtin	mpn	identifier_exists	product_type	product_weight	shipping_weight	google_product_category	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	condition	adult	age_group	gender	color	material	pattern	size	item_group_id
A0078	BBQ GRILL Mat	 Több tízezer elégedett vásárlóval országszerte!Rendelésért hívja a +36 30 258 22 31 -etTapadásmentes felületGrillmesterek számára kötelező kellékKészítsd el a legkülönlegesebb grill ételeket egyszerűen	https://tutitermekek.hu/otthon_konyhaitermekek_bbq_grill_mat-01?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/Grill%20mat%202%20ezt/Untitled-1.jpg	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/Grill%20mat%202%20ezt/Untitled-1.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/Grill%20mat%202%20ezt/Untitled-14.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/Grill%20mat%202%20ezt/19746.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/Grill%20mat%202%20ezt/f7fd2aa7-0e97-2fde-538e-7facfdcfbb621.jpg	in stock	2690 HUF	1590 HUF		Skycandle	5055610830412		No	Otthon > Őszi készletkisöprés	49.00 g	49.00 g		Konyhai termékek	Kerti felszerelések	Őszi készletkisöprés	Kiárusítás 	Tuti Toptermékek	New	No							
A0002	Szárítólabda - A vasalás mentes mosáshoz	Nálunk biztonságos a vásárlás!Gőzölő technológiaEgyszerű használatElég a gyűröttségből!	https://tutitermekek.hu/otthon_furdoszobaikiegeszitok_szaritolabda?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/SZLA-001%20Sz%C3%A1r%C3%ADt%C3%B3labda/ezt%20labda.jpg	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/A0002/01.png,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/SZLA-001%20Sz%C3%A1r%C3%ADt%C3%B3labda/ezt%20labda.jpg	in stock	2490 HUF			Skycandle	5055610829683		No	Otthon > Készletkisöprés	52.00 g	52.00 g		Fürdőszobai kiegészítők	Készletkisöprés	Kiárusítás 	Tuti Toptermékek	Egyéb otthoni termékek	New	No							
A0001	Multifunkciós Szélvédő Takaró	Nálunk biztonságos a vásárlás!Rendelésért hívja a +36 30 258 22 31 -etMegakadályozza a szélvédő jegesedését!Lopásbiztos kialakítással!Télen és nyáron is használható!UV sugárzás elleni védelem!	https://tutitermekek.hu/auto_autoapolas_multifunkcios_szelvedo_takaro?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/A0001/08_A0001_web.jpg	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/A0001/06_A0001_web.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/A0001/07_A0001_web.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/A0001/01_55804_web.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/A0001/03_55804_web.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/MSZ-002%20sz%C3%A9lv%C3%A9d%C5%91%20takar%C3%B3/descriptionImg__11.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/MSZ-002%20sz%C3%A9lv%C3%A9d%C5%91%20takar%C3%B3/descriptionImg__10.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/MSZ-002%20sz%C3%A9lv%C3%A9d%C5%91%20takar%C3%B3/descriptionImg__9.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/MSZ-002%20sz%C3%A9lv%C3%A9d%C5%91%20takar%C3%B3/descriptionImg__8.jpg	in stock	3490 HUF	1790 HUF		Skycandle	5055610829676		No	Otthon > Black Friday	86.00 g	86.00 g		Kiárusítás 	Black Friday	Autóápolás	Őszi készletkisöprés		New	No							
A0004	Állítható Colostok - Szögsablon	Nálunk biztonságos a vásárlás!Pontos, gyors mérésStrapabíró kialakításEzermesterek számára kötelező kiegészítő	https://tutitermekek.hu/barkacs_szerszamok_szogsablon_allithato_colostok?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/SZS-003%20sz%C3%B6gsablon/18819-szogsablon_8819.htb1iopyqxxxxxbxaxxxq6xxfxxxp.jpg	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/SZS-003%20sz%C3%B6gsablon/18819-szogsablon_8819.htb1tjigqxxxxxbgxxxxq6xxfxxx9.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/SZS-003%20sz%C3%B6gsablon/18819-szogsablon_8819.htb1b._zqxxxxxboapxxq6xxfxxxr.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/SZS-003%20sz%C3%B6gsablon/18819-szogsablon_8819.htb1ifyyqxxxxxbwapxxq6xxfxxxy.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/SZS-003%20sz%C3%B6gsablon/18819-szogsablon_8819.htb1j0tcqxxxxxxnapxxq6xxfxxx1.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/SZS-003%20sz%C3%B6gsablon/18819-szogsablon_8819.htb15l2gqxxxxxakapxxq6xxfxxxq.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/SZS-003%20sz%C3%B6gsablon/18819-szogsablon_8819.htb1n2lkqxxxxxbyaxxxq6xxfxxxw.jpg	in stock	2490 HUF			Skycandle	5055610829706		No	Otthon > Készletkisöprés	74.00 g	74.00 g		Kézi Szerszámok	Kerti felszerelések	Készletkisöprés	Kiárusítás 		New	No							
A0041	Karc Eltüntető Filc	 Több tízezer elégedett vásárlóval országosan!Rendelésért hívja a +36 30 258 22 31 -etKöltséghatékony megoldás a karcok eltüntetéséhezHasználata nem igényel szaktudást, bárki egyszerűen használhatjaTípustól, márkától, színtől függetlenül használható	https://tutitermekek.hu/auto_autoapolas_kacreltunteto_filc?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/KCE-006%20karcelt%C3%A1vol%C3%ADt%C3%B3%20filctoll/descriptionImg__5.jpg	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/KCE-006%20karcelt%C3%A1vol%C3%ADt%C3%B3%20filctoll/1PC-2PCS-Car-styling-New-Portable-Fix-It-Pro-Clear-Car-Scratch-Repair-Remover-Pen-Simoniz_0.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/KCE-006%20karcelt%C3%A1vol%C3%ADt%C3%B3%20filctoll/Car-styling-Paint-Care-Car-Scratch-Repair-Fix-it-Pro-Auto-Paint-Pen-Professional-Clear-Coat_3.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/KCE-006%20karcelt%C3%A1vol%C3%ADt%C3%B3%20filctoll/Car-styling-Paint-Care-Car-Scratch-Repair-Fix-it-Pro-Auto-Paint-Pen-Professional-Clear-Coat_0.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/KCE-006%20karcelt%C3%A1vol%C3%ADt%C3%B3%20filctoll/Car-styling-Paint-Care-Car-Scratch-Repair-Fix-it-Pro-Auto-Paint-Pen-Professional-Clear-Coat_4.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/KCE-006%20karcelt%C3%A1vol%C3%ADt%C3%B3%20filctoll/1PC-2PCS-Car-styling-New-Portable-Fix-It-Pro-Clear-Car-Scratch-Repair-Remover-Pen-Simoniz_4.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/KCE-006%20karcelt%C3%A1vol%C3%ADt%C3%B3%20filctoll/Car-styling-Paint-Care-Car-Scratch-Repair-Fix-it-Pro-Auto-Paint-Pen-Professional-Clear-Coat_5.jpg	in stock	3490 HUF	2697 HUF		Skycandle	5055610830047		No	Otthon > Black Friday	12.00 g	12.00 g		Autóápolás	Őszi készletkisöprés	Black Friday			New	No							
A0011	Depilátor	Nálunk biztonságos a vásárlás!Rendelésért hívja a +36 30 258 22 31 -et  Bőrbarát megoldásGyors, egyszerű használatFájdalommentes szőrtelenítés	https://tutitermekek.hu/szepsegegeszseg_szepsegapolasikiegeszitok_fajdalommentes_depilator?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/FMD-006%20f%C3%A1jdalommentes%20depil%C3%A1tor/descriptionImg__13.jpg	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/FMD-006%20f%C3%A1jdalommentes%20depil%C3%A1tor/descriptionImg__12.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/FMD-006%20f%C3%A1jdalommentes%20depil%C3%A1tor/descriptionImg__15.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/FMD-006%20f%C3%A1jdalommentes%20depil%C3%A1tor/descriptionImg__16.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/FMD-006%20f%C3%A1jdalommentes%20depil%C3%A1tor/descriptionImg__17.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/FMD-006%20f%C3%A1jdalommentes%20depil%C3%A1tor/descriptionImg__18.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/FMD-006%20f%C3%A1jdalommentes%20depil%C3%A1tor/descriptionImg__19.jpg	in stock	1690 HUF			Skycandle	5055610829768		No	Otthon > Őszi készletkisöprés	75.00 g	75.00 g		Szépségápolási kiegészítők	Higiénia	Készletkisöprés	Őszi készletkisöprés	Kiárusítás 	New	No							
10051	Handy Lézeres Szintező	Nálunk biztonságos a vásárlás!Rendelésért hívja a +36 30 258 22 31 -etA precizitás nagykövete!Akár 10 méteres hatótávÁllítható döntésszög	https://tutitermekek.hu/barkacs_szerszamok_handy_lezeres_szintezo?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/GLO-10051%20handy%20l%C3%A9zeres%20szintez%C5%91/02_10051_web.jpg	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/GLO-10051%20handy%20l%C3%A9zeres%20szintez%C5%91/06_10051_web__hu.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/GLO-10051%20handy%20l%C3%A9zeres%20szintez%C5%91/03_10051_web.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/GLO-10051%20handy%20l%C3%A9zeres%20szintez%C5%91/05_10051_web.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/GLO-10051%20handy%20l%C3%A9zeres%20szintez%C5%91/07_10051_web.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/GLO-10051%20handy%20l%C3%A9zeres%20szintez%C5%91/08_10051_web.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/GLO-10051%20handy%20l%C3%A9zeres%20szintez%C5%91/09_10051_web.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/GLO-10051%20handy%20l%C3%A9zeres%20szintez%C5%91/04_10051_web.jpg	out of stock	13890 HUF			Handy	5055610827115		No	Barkács > Kézi Szerszámok	603.00 g	603.00 g		Kézi Szerszámok	Tuti Toptermékek				New	No							
A0008	Univerzális autós telefontartó	Nálunk biztonságos a vásárlás!Egyszerűen felhelyezhetőBármilyen telefonnal kompatibilisTúlmelegedést is gátolhatja	https://tutitermekek.hu/auto_taroloktartok_univerzalis_autos_telefontarto?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/UT-001%20Univerz%C3%A1lis%20aut%C3%B3s%20telefontart%C3%B3/Car-Phone-Holder-Car-Dashboard-Adjustable-Bracket-Plastic-Universal-Mobile-Car-Holder-Stand-For-Xiaomi-Samsung_2%20%281%29.jpg	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/UT-001%20Univerz%C3%A1lis%20aut%C3%B3s%20telefontart%C3%B3/Car-Phone-Holder-Car-Dashboard-Adjustable-Bracket-Plastic-Universal-Mobile-Car-Holder-Stand-For-Xiaomi-Samsung_1%20%281%29.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/UT-001%20Univerz%C3%A1lis%20aut%C3%B3s%20telefontart%C3%B3/Car-Phone-Holder-Car-Dashboard-Adjustable-Bracket-Plastic-Universal-Mobile-Car-Holder-Stand-For-Xiaomi-Samsung_3%20%281%29.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/UT-001%20Univerz%C3%A1lis%20aut%C3%B3s%20telefontart%C3%B3/Car-Phone-Holder-Car-Dashboard-Adjustable-Bracket-Plastic-Universal-Mobile-Car-Holder-Stand-For-Xiaomi-Samsung_5.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/UT-001%20Univerz%C3%A1lis%20aut%C3%B3s%20telefontart%C3%B3/Car-Phone-Holder-Car-Dashboard-Adjustable-Bracket-Plastic-Universal-Mobile-Car-Holder-Stand-For-Xiaomi-Samsung_4%20%281%29.jpg	in stock	1990 HUF			Skycandle	4902580731069		No	Otthon > Készletkisöprés				Tárolók, Tartók	Készletkisöprés				New	No							
A0055	Fürdőszobai kapaszkodó	Nálunk biztonságos a vásárlás!Rendelésért hívja a +36 30 258 22 31 -etKönnyű felhelyezésTapadókorongokkal ellátottBiztonságos fürdőszoba használat	https://tutitermekek.hu/otthon_furdoszobaikiegeszitok_furdoszobai_kapaszkodo?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/FK-001%20F%C3%BCrd%C5%91szobai%20kapaszkod%C3%B3/asd.jpg	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/FK-001%20F%C3%BCrd%C5%91szobai%20kapaszkod%C3%B3/18609-furdoszobai-kapaszkodo_8609.agarradera-manilla-asa-soporte-ducha-seguridad.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/FK-001%20F%C3%BCrd%C5%91szobai%20kapaszkod%C3%B3/asdf.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/A0055/A0055%202020.5.20%201.0.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/A0055/A0055%202020.5.20%203.0.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/A0055/A0055%202020.5.20%205.0.jpg	in stock	4620 HUF	3990 HUF		Skycandle	5055610830184		No	Otthon > Black Friday	288.00 g	288.00 g		Fürdőszobai kiegészítők	Black Friday	Tuti Toptermékek			New	No							
A0079	Jégkocka készítő és tartó vödör	Nálunk biztonságos a vásárlás!Nagy tárolókapacitásJégvödörként is funkcionál!Király partikiegészítő	https://tutitermekek.hu/otthon_konyhaitermekek_jegkocka_keszito_es_tarto_vodor?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/JTF-001%20J%C3%A9gkocka%20k%C3%A9sz%C3%ADt%C5%91/saving-ice-cube-maker-silicone-ice-bucket.jpg	https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/JTF-001%20J%C3%A9gkocka%20k%C3%A9sz%C3%ADt%C5%91/images.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/JTF-001%20J%C3%A9gkocka%20k%C3%A9sz%C3%ADt%C5%91/product-image-636421744.jpg,https://www.tutitermekek.hu/custom/tesztbolt123456789/image/cache/w900h500m00/product/JTF-001%20J%C3%A9gkocka%20k%C3%A9sz%C3%ADt%C5%91/images%20%281%29.jpg	in stock	3490 HUF	2390 HUF		Skycandle			No	Otthon > Készletkisöprés	200.00 g	200.00 g		Konyhai termékek	Készletkisöprés	Kiárusítás 	Tuti Toptermékek	Egyéb otthoni termékek	New	No							
